Title,Title_link,date,Rating,Description_of_duration,authorInfo,Positive_Review,pos_count,Negative_Review,neg_count,UI_TEXT,reviewBodyCell,author_location,authorLocation_current,Outlook,CEO_Approval
"""Okay company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34947560.htm,15 August 2020,3.0,I have been working at Walmart full-time for more than a year,Current Employee - Administrative Assistant,large so easy to blend in and not do your work  not too stressful,1,doesnt pay well  not many vacation days,0,,,,,,
"""Great Place""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34544870.htm,31 July 2020,5.0,I have been working at Walmart full-time for less than a year,Current Employee - Sales Associate,goes over and beyond for associates,1,listen to their associates more,0,,,,,,
"""Stock shelves""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34547028.htm,31 July 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - Shelver,they pay fair and are a positive company,1,upward mobility is hard and takes a while,0,,,,,,
"""Greatest Company to work for""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34551476.htm,31 July 2020,5.0,I worked at Walmart full-time for more than 10 years,Former Employee - Divisional Merchandise Manager,culture!!! career development  professional opportunities  diversity  inclusion  benefits,1,the company will challenge you at all levels  but if you are willing to give 100% of yourself to do the job  it will be worth it ,0,,,,,,
"""Terrible""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35654478.htm,5 September 2020,1.0,I worked at Walmart full-time for more than 8 years,Former Employee - Department Manager,nothing positive in this place ,1,not enough hours  terrible management,0,,,,,,
"""Meh""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35657483.htm,5 September 2020,1.0,I worked at Walmart full-time,Former Employee - Stocker,it’s easy for what you do,1,the people really aren’t good,0,,,,,,
"""Enough for survival with limited growth opportunity""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35660046.htm,5 September 2020,1.0,I have been working at Walmart part-time for less than a year,Current Employee - Associate,opportunity to practice customer service,1,manpower allocation is not proper,0,,,,,,
"""unfriendly working conditions""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34938538.htm,15 August 2020,2.0,I worked at Walmart full-time for less than a year,Former Employee - Backroom Stocker,hour-long break half way through shift,1,coworkers and speed of job even for a new hire ,0,,,,,,
"""Category Specialist""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34939732.htm,15 August 2020,2.0,I have been working at Walmart full-time for more than a year,Current Employee - Category Specialist,decent compensation based on required responsibilities ,1,strategic vision doesn't trickle down  so lots of time is wasted on meaningless projects ,0,,,,,,
"""Hard work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34943174.htm,15 August 2020,2.0,I worked at Walmart part-time,Former Employee - Cart Pusher,take breaks and listen to music,1,understaffed so i had to handle the entire lot myself ,0,,,,,,
"""Gain some workforce experience, but not necessarily a positive one""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34946708.htm,15 August 2020,2.0,I worked at Walmart part-time for less than a year,Former Employee - Cashier,it s a decent place to gain some experience in the work force and learn how larger companies operate to some degree  you can learn some valuable customer service skills here  straightforward work most of the time ,1,even though this is a minimum wage job  it can be quite demanding and fast paced based on the day  when scheduling the employee provides their hours of availability up front  but i was frequently scheduled outside of my hours of availability  and as a college student i cannot be flexible with that! it is frustrating because customers can be exceptionally rude to walmart employees  assuming that because i work there that i must be a stupid person and was occasionally treated with such malice  this last con is picky  but the fluorescent lights can be annoyingly bright and made me dread coming to work if i'm being honest  i learned i don't really like working for large corporations like this one ,0,,,,,,
"""Good work environment""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34545681.htm,31 July 2020,4.0,I have been working at Walmart full-time for less than a year,Current Employee - Personal Shopper,good work environment  good pay  good hours,1,management chooses favorites and isn’t always fair,0,,,,,,
"""I am currently working as a Customer Service associate for almost 2 years.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34546396.htm,31 July 2020,4.0,I have been working at Walmart part-time for more than a year,Current Employee - Customer Service Associate,good work environment  will get lots of opportunity to learn new things,1,there is not much cons about this position ,0,,,,,,
"""Walmart e Commerce""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34548601.htm,31 July 2020,4.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Sandwich Artist,great people to work with and learn from,1,integration of technology but it is getting better ,0,,,,,,
"""okay place to start""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34551011.htm,31 July 2020,4.0,I worked at Walmart full-time,Former Employee - Sales Associate,not a bad place to start,1,low pay and management issues,0,,,,,,
"""Working experience""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34551200.htm,31 July 2020,4.0,I have been working at Walmart part-time,Current Employee - Sales Associate,the environment is good  i have no problem in getting shifts ,1,after clearing the interview  they took a month to give me shifts ,0,,,,,,
"""Its fine""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34553415.htm,31 July 2020,4.0,I worked at Walmart part-time for less than a year,Former Employee - Cashier,they were very understanding about my being pregnant,1,the csm's were hateful and clicky,0,,,,,,
"""It’s okay""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34911386.htm,14 August 2020,3.0,I have been working at Walmart full-time,Current Employee - Department Manager,your coworkers become family and that’s nice,1,management expects you to work like you’re a salaried member of management with less pay,0,,,,,,
"""Walmart fresh cap 2""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34916281.htm,14 August 2020,3.0,I have been working at Walmart part-time for more than a year,Current Employee - Sales Associate,best paying job decent hours great co workers,1,i cannot think of anything wrong,0,,,,,,
"""Okay company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34919000.htm,14 August 2020,3.0,I have been working at Walmart part-time,Current Employee - Nationally Certified Pharmacy Technician,we get quarterly bonuses  but not every quarter ,1,stressful environment  understaffed  raises are low ,0,,,,,,
"""not enjoyable""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34924583.htm,14 August 2020,3.0,I worked at Walmart full-time for more than a year,Former Employee - Customr Service Manager,secure hourly employment and steady hours,1,management is unprofessional and need to learn people skills in customer service,0,,,,,,
"""Not so bad.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34926245.htm,14 August 2020,3.0,I have been working at Walmart part-time for more than a year,Current Employee - Cashier - Front End,long breaks  easy job  and relaxed environment ,1,crappy customers and unresponsive management ,0,,,,,,
"""Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34927639.htm,14 August 2020,3.0,I worked at Walmart part-time for more than a year,Former Employee - Cashier,great job overall  basic job,1,overuse you / work to many hours during holidays ,0,,,,,,
"""Decent workplace depending on location""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34928093.htm,14 August 2020,3.0,I have been working at Walmart full-time for more than a year,Current Employee - Personal Shopper,fast paced  good pay  and reliable,1,management  a lot of physical labor,0,,,,,,
"""good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34928832.htm,14 August 2020,3.0,I worked at Walmart part-time for more than a year,Former Employee - Clerk,good best efficient helpful nice,1,nothing nothing nothing nothing nothing,0,,,,,,
"""Wasn’t Great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34929714.htm,14 August 2020,3.0,I worked at Walmart part-time for less than a year,Former Employee - Salesfloor Associate,pretty easy work and good break schedule,1,some of the workers are real quick to stab you in the back and management doesn’t typically keep the employee’s best interests at heart,0,,,,,,
"""Going Downhill""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34929980.htm,14 August 2020,3.0,I have been working at Walmart full-time for more than 8 years,Current Employee - Department Manager,i have made some good friends there  associates stick together ,1,management plays favorites  they talk like they appreciate us so much to their bosses  but to us  they act like we are never good enough  they never give us tools to do our job correctly  but then blame it on us when things don't get finished ,0,,,,,,
"""Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34930140.htm,14 August 2020,3.0,I worked at Walmart part-time for less than a year,Former Employee - Meat Department Team Member,good pay not bad work,1,long hours not bad though,0,,,,,,
"""Shipping Loader""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34930156.htm,14 August 2020,3.0,I have been working at Walmart full-time for more than 5 years,Current Employee - Loader,good pay and benefits  that s about it ,1,they get their money's worth out if you  and if they can get more  better believe they will ,0,,,,,,
"""Not a job to support a family""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34930477.htm,14 August 2020,3.0,I have been working at Walmart full-time,Current Employee - Sales Associate,stable job for the most part,1,not enough pay  unless you become manager which you won’t see your family very much,0,,,,,,
"""Good first job to understand how a supply chain company runs""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34935072.htm,15 August 2020,3.0,I worked at Walmart full-time for less than a year,Former Employee - Stocker,-good pay/if you get a good job inside -learn how a business operates,1, hard work   little recognition   no moving air in receiving dock  held to super high expectations   can be difficult to move up in the company   horrible hr dept ,0,,,,,,
"""Ok job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34936103.htm,15 August 2020,3.0,I worked at Walmart full-time for more than 3 years,Former Employee - Non Conveyable Order Filler,make decent money  with overtime,1,long hours and demanding work,0,,,,,,
"""Great job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34524168.htm,30 July 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - Fresh Food Associate,fast paced but easy work  good pay,1,customers can be rude  in order to get hours had to be available from 4am to 10pm,0,,,,,,
"""Great job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34524168.htm,30 July 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - Fresh Food Associate,fast paced but easy work  good pay,1,customers can be rude  in order to get hours had to be available from 4am to 10pm,0,,,,,,
"""Great pharmacy to work at""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34526493.htm,30 July 2020,5.0,I have been working at Walmart part-time,Current Employee - Pharmacy Intern,patient safety is the number one goal,1,some patient populations are difficult,0,,,,,,
"""They have great  people to help other to find stuff""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34532721.htm,30 July 2020,5.0,I worked at Walmart part-time for less than a year,Former Employee - Latravion Pritchard,because i know walmart is a good job,1,never slow down and never let people make you stop working,0,,,,,,
"""Amazing for high-school/ college kids""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34534108.htm,30 July 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - CAP Team II Associate,great pay  a lot of people your age  great for people who do well with talking to customers,1,"absolutely not ideal if you can't speak to customers frequently  customers ask questions more than you ""work"" so it's awesome if you love to communicate  extremely high turnover  more ideal for a summer job or a while in school typa thing ",0,,,,,,
"""good place""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34538165.htm,30 July 2020,5.0,I worked at Walmart full-time,Former Employee - Team Member,very nice place to work ,1,no complaints at all  it is what it is,0,,,,,,
"""I had good reviews all the time""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35634322.htm,4 September 2020,1.0,I worked at Walmart full-time,Former Employee - Courtesy Associate,i was kept busy all the time,1,i was terminated on july 31st,0,,,,,,
"""Walmart maintenance""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35642161.htm,4 September 2020,1.0,I worked at Walmart full-time for less than a year,Former Employee - Overnight Maintenance,chill people to work with ,1,management and overall running of the store,0,,,,,,
"""not enough employees""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34913383.htm,14 August 2020,2.0,I worked at Walmart full-time for less than a year,Former Employee - Cashier,its a job pays some of the bills,1,not enough employees at one time,0,,,,,,
"""It’s ok for a college student""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34923928.htm,14 August 2020,2.0,I have been working at Walmart part-time for more than 3 years,Current Employee - Certified Pharmacy Technician,pays more than cvs  rite aid  walgreens flexible schedule for college student,1,incompetent staff no room for growth,0,,,,,,
"""Not worth it""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34928666.htm,14 August 2020,2.0,I worked at Walmart full-time for more than a year,Former Employee - Department Manager,the benefits package and discounts are good ,1,they don't care about you or your health  they will work you to the ground ,0,,,,,,
"""Great Company""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34523006.htm,30 July 2020,4.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Fresh Operations Manager,great culture  management is professional and respectful,1,frequent restructures make career stability challenging  compensation,0,,,,,,
"""Hated winter""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34525233.htm,30 July 2020,4.0,I worked at Walmart part-time,Former Employee - Cart Pusher,fun  cool co workers when i worked,1,hated winter  lead to me leaving,0,,,,,,
"""Okay at beast""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34527983.htm,30 July 2020,4.0,I worked at Walmart full-time for more than a year,Former Employee - Department Manager,you have the ability to move up with proper dedication and work  the turn over rate is high and that helps  the benefits are there but they are moderate  you have the ability to make friends with coworkers and frequent customers ,1,the problem is that once management finds out you are a hard worker they can abuse it  they will take every bit of you and the moment you start to falter they cast you aside for their new best thing  they will take the customers side everytime even if you are fallowing policy but that is to be expected ,0,,,,,,
"""great job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34531360.htm,30 July 2020,4.0,I worked at Walmart part-time for more than a year,Former Employee - Greeter,meet with lots of public  customer service,1,lots of unfriendly people going in and out,0,,,,,,
"""Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34532379.htm,30 July 2020,4.0,I have been working at Walmart part-time for less than a year,Current Employee - Deli Clerk/Bakery Assistant/Chicken Fryer,they help with school  easy to be promoted for hard workers  friendly crew ,1,no regular hours  limited benefits for part timers,0,,,,,,
"""Work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34877412.htm,13 August 2020,3.0,I have been working at Walmart part-time,Current Employee - Maintenance,easy work will finish early,1,boring work just sweep all night,0,,,,,,
"""Not Bad""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34886534.htm,13 August 2020,3.0,I worked at Walmart full-time,Former Employee - Co-Manager,fun people to work with,1,no work life balance  weekends  holidays  late nights,0,,,,,,
"""terrible management""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34887728.htm,13 August 2020,3.0,I worked at Walmart part-time for more than a year,Former Employee - Sales Associate,there really are not any,1,long hours  no benefits  labor work,0,,,,,,
"""Okay""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34888443.htm,13 August 2020,3.0,I have been working at Walmart part-time for more than 3 years,Current Employee - Cashier,easy tasks  benefits  vacation  profit sharing,1,management  long hours  some co workers,0,,,,,,
"""Okay at times.. but expect more then you can give""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34888809.htm,13 August 2020,3.0,I worked at Walmart full-time for more than 5 years,Former Employee - Sales Associate,steady work  okay pay  insurance,1,expecting more out of a person then is possible  not believing their associates have family ,0,,,,,,
"""Good and the bad""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34891735.htm,13 August 2020,3.0,I worked at Walmart part-time for less than a year,Former Employee - Associate,good pay and plenty of hours for work ,1,constantly going over work hours  getting overworked if you're part time and a student ,0,,,,,,
"""Pharmacy Tech""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34895460.htm,13 August 2020,3.0,I have been working at Walmart full-time for more than a year,Current Employee - Walmart Pharmacy Technician,flexible hours  likable coworkers  fast paced,1,stressful work environment  have to be able to handle when patients complain and take out their anger on you ,0,,,,,,
"""It was alright""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34896236.htm,13 August 2020,3.0,I worked at Walmart full-time for less than a year,Former Employee - Fresh Food Associate,it had good pay and it was not that busy,1,if there aren't a lot of people working in other positions  they will have you doing everything  everywhere,0,,,,,,
"""Depends""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34898150.htm,13 August 2020,3.0,I worked at Walmart full-time for less than a year,Former Employee - Overnight Stocker,some managers are cool  others not so much,1,some customers bring out their worst side to  retail workers  you just have to deal with it ,0,,,,,,
"""Average experience""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34900016.htm,13 August 2020,3.0,I worked at Walmart part-time for more than 3 years,Former Employee - Retail Merchandiser,decent discounts and great coworkers,1,long hours  low pay  bad customers,0,,,,,,
"""Not bad""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34900058.htm,13 August 2020,3.0,I worked at Walmart part-time for less than a year,Former Employee - Cashier,not that busy around evening,1,rude people sometimes get on nerve,0,,,,,,
"""Never should have gone to salaried""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34900416.htm,13 August 2020,3.0,I worked at Walmart full-time for more than 10 years,Former Employee - Anonymous Employee,salary  benefits  schedule  room for advancement,1,work environment  upper management  no support,0,,,,,,
"""Sucks""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34900803.htm,13 August 2020,3.0,I have been working at Walmart full-time,Current Employee - Department Manager,flexibility they are flexible with your schedule,1,low wage   management sucks,0,,,,,,
"""Ups and Downs""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34901429.htm,13 August 2020,3.0,I worked at Walmart full-time for more than a year,Former Employee - Department Manager,the best thing about this job was the friends i made  honestly  the friends i ve made working there  are people i still am friends with to this very day ,1,"management protects whoever they want  i've witnessed promotions go to people who were pre selected before interviews took place and watched people who deserved promotions go unrecognized for their work  if it ain't broke  wal mart will try to ""fix it"" til it is  horrible pay  insulting ""raises"" if you can even call them that  and overworking and under appreciating the majority of their staff ",0,,,,,,
"""Review""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34509558.htm,29 July 2020,5.0,I have been working at Walmart part-time for more than a year,Current Employee - Fresh Availability Associate,willing to work with schedule  good benefits  breaks  and pay ,1,sometimes too high of expectations when short staffed ,0,,,,,,
"""Life as a OGP associate""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34512999.htm,29 July 2020,5.0,I worked at Walmart full-time for more than 3 years,Former Employee - Personal Shopper/OGP,the job was easy it was basically shopping,1,lots of walking and lifting heavy items like grills  pools  10 packs of water,0,,,,,,
"""Decent""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34514516.htm,29 July 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - AP Associate,fun preventing theft and saving money,1,deal with a lot of conflicts,0,,,,,,
"""Pls read""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34516818.htm,29 July 2020,5.0,I have been working at Walmart full-time,Current Employee - Sales Associate/Cashier,coworkers are great!  fun environment!,1,the customers  pay  sometimes the hours,0,,,,,,
"""Good First job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34517091.htm,29 July 2020,5.0,I worked at Walmart part-time for less than a year,Former Employee - Overnight Stocker,flexible schedule  good pay  pto,1,high expectations for night shift,0,,,,,,
"""Terrible""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35581935.htm,3 September 2020,1.0,I worked at Walmart full-time,Former Employee - Department Manager,great benefits for full time associates,1,terrible managers  they all only care about themselves  ,0,,,,,,
"""Terrible""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35588596.htm,3 September 2020,1.0,I have been working at Walmart full-time,Current Employee - Cap-1 Associate,the pay rate is great,1,there is constant drama and the need to watch what you say or someone will twist your words,0,,,,,,
"""Assistant manager""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35599963.htm,3 September 2020,1.0,I have been working at Walmart full-time,Current Employee - Assistant Manager,not a whole lot that is great,1,unrealistic expectations by the management teams  bad hours and varying schedules,0,,,,,,
"""If you’re a woman, then don’t work here""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35600047.htm,3 September 2020,1.0,I worked at Walmart full-time for more than 10 years,Former Employee - Assistant Manager,toxic masculinity and toxic work environment,1,long hours and blatant racism,0,,,,,,
"""good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35604657.htm,3 September 2020,1.0,I have been working at Walmart part-time,Current Employee - Sales Associate,good time off at here,1,bad time dealing with people,0,,,,,,
"""job was good and easy""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34383588.htm,22 July 2020,5.0,I worked at Walmart part-time for less than a year,Former Employee - Sales Associate,easy to learn  good discounts  alot of hours,1,very few managers  constantly bus,0,,,,,,
"""Great if you have good managers, which is hardly ever.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34872219.htm,13 August 2020,2.0,I worked at Walmart full-time for more than 5 years,Former Employee - E-commerce,flexible scheduling  decent pay  friendly co workers,1,bad environment  entitled customers  untrained and unprofessional management,0,,,,,,
"""coworkers were good, managers not so much.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34883160.htm,13 August 2020,2.0,I worked at Walmart part-time for less than a year,Former Employee - Fresh Cap II Associate,good starting pay 1 hour long breaks for lunch two 15 minute breaks paid,1,managers no pay raises unless you move up through management and become a manager they don't hire enough employees for each department make you run entire departments by yourself with little to no assistance hard to find managers when you need them,0,,,,,,
"""Meh""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34905840.htm,14 August 2020,2.0,I worked at Walmart part-time,Former Employee - Stores Standards Associate,good co-workers  above minimum wage pay,1,long hours on feet  bad schedules,0,,,,,,
"""i was required to do this""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34507381.htm,29 July 2020,4.0,I worked at Walmart part-time,Former Employee - Team Member,socks  shoes  shirt  hat  watch,1,time  money  life  health  sickness,0,,,,,,
"""Great for high schoolers""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34514498.htm,29 July 2020,4.0,I have been working at Walmart part-time for more than 5 years,Current Employee - Online Grocery Associate,better pay than most retail stores,1,not many chances for promotion within the store,0,,,,,,
"""Never stand still""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34516631.htm,29 July 2020,4.0,I have been working at Walmart full-time,Current Employee - FRESH CAP II Supervisor,always something to do and fast paced,1,large workload to be accomplished,0,,,,,,
"""Decent place to work lots of hours""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34832891.htm,12 August 2020,3.0,I have been working at Walmart full-time for more than 5 years,Current Employee - Operations Manager,decent money and decent benefits,1,lots of hours and extra days,0,,,,,,
"""none""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34833258.htm,12 August 2020,3.0,I have been working at Walmart full-time,Current Employee - Driver,it is what it is i don t know,1,long long work hours everyday,0,,,,,,
"""Good first job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34835314.htm,12 August 2020,3.0,I have been working at Walmart part-time,Current Employee - Sales Associate/Cashier,decent pay and good first job,1,people are often very rude,0,,,,,,
"""OK experience""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34836696.htm,12 August 2020,3.0,I worked at Walmart part-time,Former Employee - Walmart Cashier,the people were very nice and a pleasure to work with,1,not enough hours and not a long breaks,0,,,,,,
"""OK experience""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34836696.htm,12 August 2020,3.0,I worked at Walmart part-time,Former Employee - Walmart Cashier,the people were very nice and a pleasure to work with,1,not enough hours and not a long breaks,0,,,,,,
"""Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34839598.htm,12 August 2020,3.0,I have been working at Walmart full-time for less than a year,Current Employee - Sales Representative,good benifit  insurance   401k  commission  bonus,1,no time  wage paid   not good team less commission ,0,,,,,,
"""Not a good place to work at""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34839515.htm,12 August 2020,3.0,I have been working at Walmart part-time for more than a year,Current Employee - Anonymous Employee,they always have hours to give to employees,1,payment is low  managers are not organized with schedules ,0,,,,,,
"""Rgj admiring""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34841550.htm,12 August 2020,3.0,I worked at Walmart full-time,Former Employee - Anonymous Employee,great too us people some,1,every already his heir hgd,0,,,,,,
"""It has been a challenging, yet fun learning experience.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34842378.htm,12 August 2020,3.0,I have been working at Walmart part-time for more than a year,Current Employee - Anonymous Employee,flexible hours  paid time off  and a friendly environment,1,sometimes breaks & lunches aren’t given on time  or we don’t have enough help throughout the store ,0,,,,,,
"""Good work place""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34846042.htm,12 August 2020,3.0,I worked at Walmart part-time,Former Employee - Cashier,nice friendly caring service and employees,1,hours were cut without notice,0,,,,,,
"""Work friendly place""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34847085.htm,12 August 2020,3.0,I have been working at Walmart part-time for less than a year,Current Employee - Customer Experience Associate,everyone is helpful  friendly  respect each other,1,not getting much hours  shifts  schedules,0,,,,,,
"""OK place to be""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34846979.htm,12 August 2020,3.0,I have been working at Walmart full-time for more than a year,Current Employee - GM Support Manager,surprisingly they have decent benefits that include college tuition for $1 a day ,1,pay is not on par with similar retail & grocery companies ,0,,,,,,
"""Not bad for a first job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34849113.htm,12 August 2020,3.0,I worked at Walmart full-time for more than a year,Former Employee - Deli Associate,they have good pay and hours,1,co workers gossip bad and managers don’t fix it,0,,,,,,
"""Former Cart Pusher""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34852015.htm,12 August 2020,3.0,I worked at Walmart full-time,Former Employee - Cart Pusher,flexibility pay hours dental benefits friends,1,management customers store hours benefits availability,0,,,,,,
"""Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34856038.htm,12 August 2020,3.0,I worked at Walmart part-time,Former Employee - Overnight Stocker,good and flexible hours   good management,1,low pay  not much room for growth,0,,,,,,
"""Work to gain experience""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34858109.htm,12 August 2020,3.0,I have been working at Walmart part-time,Current Employee - Customer Service Associate,learning customer service and management,1,can't maintain a healthy lifestyle,0,,,,,,
"""Good money Poor management""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34860627.htm,12 August 2020,3.0,I worked at Walmart full-time for less than a year,Former Employee - Cap II Associate,good pay and employee benefits,1,poor communication and absent managers,0,,,,,,
"""X""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34860832.htm,12 August 2020,3.0,I worked at Walmart part-time,Former Employee - Anonymous Employee,working on cars is fun,1,not great pay given the amount of work,0,,,,,,
"""Systems operator at Distribution Center""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34449119.htm,26 July 2020,4.0,I have been working at Walmart full-time,Current Employee - Systems Operator,if you re willing to learn  it s a good way to get your foot into the it industry ,1,the department is usually understaffed ,0,,,,,,
"""decent""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW34492987.htm,28 July 2020,5.0,I have been working at Walmart full-time for less than a year,Current Employee - Cap Team II,nice employees lots of breaks,1,use gloves or your hands will hurt,0,,,,,,
"""bruh""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW35539992.htm,2 September 2020,1.0,I have been working at Walmart part-time,Current Employee - Cashier,kind of easy  ok upper management,1,very little pay  long hours,0,,,,,,
